id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
15,4,2,15,41,72,2015/7/15 15:05,2,1935,1,0,4,1,1000,1,40,136,65,1,-8,-8,1,3,1,1,5,2,4,,,,,30000,4,3,1,2,3,3,2,3,2
16,4,2,29,82,124,2015/7/22 14:46,1,1983,1,1,1,4,45000,1,120,185,185,4,5,3,1,3,4,1,4,6,1,3,8,1,3,50000,5,3,1,2,3,2,1,5,2
17,4,1,6,16,32,2015/8/10 10:41,2,1974,1,0,4,4,0,2,63,162,120,2,3,3,1,2,4,2,2,5,5,,,,,36000,3,3,1,2,3,2,2,3,2
18,4,2,31,87,131,2015/8/17 9:52,2,1962,1,0,8,6,0,1,90,155,90,2,2,3,1,3,4,2,2,1,3,,,,,20000,1,3,1,2,3,2,1,4,2
19,4,1,4,7,16,2015/10/18 10:28,1,1976,1,1,1,7,100000,1,77,170,135,5,5,5,4,3,3,3,4,6,1,2,17,1,2,200000,5,3,1,1,3,2,2,3,2
20,5,1,4,7,22,2015/9/11 9:54,1,1965,1,1,1,4,100000,4,91,175,160,5,5,5,2,4,4,4,4,6,1,2,8,1,1,100000,4,3,2,1,3,2,1,3,2
21,4,1,27,79,119,2015/7/25 9:34,1,1951,3,1,1,4,25000,1,71,165,130,2,2,3,2,3,4,1,2,3,5,,,,,80000,5,2,1,2,3,2,2,5,2
22,5,2,9,21,43,2015/7/5 8:08,2,1948,1,1,1,1,2000,1,100,160,120,1,2,2,1,2,3,1,4,1,4,,,,,20000,6,3,1,1,3,3,3,4,2
23,4,1,21,62,98,2015/7/18 10:53,2,1980,1,1,1,3,5000,1,220,154,90,4,4,3,1,4,3,1,4,5,4,,,,,40000,5,2,1,2,3,2,2,4,3
24,4,1,19,57,92,2015/7/17 10:01,1,1942,1,1,1,6,48000,1,80,172,120,3,3,3,4,2,4,1,4,7,5,,,,,48000,1,3,0,2,3,1,1,3,-8
25,4,1,12,32,58,2015/9/2 19:10,1,1956,1,1,1,6,-1,1,63,165,65,4,5,5,2,2,4,4,1,4,5,,,,,90000,3,3,1,2,3,2,2,4,-8
26,4,1,26,76,116,2015/10/17 17:15,2,1970,1,1,1,4,20000,1,80,156,100,4,4,4,2,3,3,3,4,3,1,2,26,1,4,60000,2,2,1,2,3,2,2,3,2
27,5,1,17,48,80,2015/7/30 10:11,2,1966,1,1,1,4,19200,1,117,161,126,4,5,3,1,3,4,2,4,6,5,,,,,100000,1,3,2,2,3,2,2,4,2
28,4,1,31,88,133,2015/8/19 20:02,2,1963,1,1,1,4,10000,1,79,158,140,3,3,3,2,3,3,1,4,5,5,,,,,20000,2,2,1,2,3,3,1,4,2
29,3,1,4,7,19,2015/10/3 18:47,1,1992,1,1,1,10,40000,2,140,183,135,4,4,3,1,4,4,4,2,4,1,5,4,2,2,40000,1,2,0,2,1,2,1,2,2
30,5,2,18,53,87,2015/7/15 15:24,1,1947,1,1,1,1,3000,1,80,168,110,2,2,3,1,4,4,1,4,4,3,,,,,40000,2,2,1,2,3,3,1,4,2
31,4,1,4,7,21,2015/9/19 15:26,1,1979,1,1,2,11,80000,1,57,171,146,4,4,3,2,2,3,3,4,6,1,3,17,1,3,170000,2,3,1,1,3,2,1,3,3
32,4,1,27,80,120,2015/7/29 12:25,2,1965,1,1,1,4,20000,1,90,175,100,4,4,4,2,2,2,2,4,5,1,6,-2,1,2,40000,2,4,1,2,3,2,1,4,2
33,4,1,4,7,20,2015/10/1 10:12,1,1926,1,1,1,12,100000,1,70,170,120,2,2,2,2,1,5,1,4,10,5,,,,,150000,3,4,1,2,3,1,2,3,2
34,4,1,16,46,77,2015/7/27 19:24,2,1987,1,1,1,4,150000,1,240,168,98,5,4,4,1,3,3,3,3,5,1,1,8,1,4,150000,2,2,0,2,3,2,1,3,2
35,4,2,9,21,43,2015/7/6 9:44,2,1937,1,0,3,1,660,4,40,150,80,2,3,3,1,2,3,1,4,4,4,,,,,10000,2,2,1,2,3,3,2,3,2
36,4,1,15,39,70,2015/7/10 19:22,1,1957,1,1,1,4,20000,1,25,172,150,4,3,3,1,3,4,1,4,2,1,4,35,1,3,30000,1,3,1,2,3,2,2,3,-8
37,4,1,5,8,23,2015/7/30 11:09,2,1969,1,-8,1,-8,60000,1,70,165,105,5,4,4,2,3,3,3,2,6,1,3,30,1,3,80000,2,4,1,2,3,2,2,4,2
38,3,1,26,75,115,2015/8/7 10:27,1,1960,1,1,1,6,15600,1,24.2,173,135,4,4,4,2,3,3,2,2,4,1,4,30,1,3,15600,1,2,1,2,6,3,2,4,2
39,5,1,27,77,117,2015/7/21 16:43,2,1971,1,1,1,10,-3,1,180,160,120,4,5,5,5,4,4,3,4,8,5,,,,,-3,4,3,1,1,3,2,1,4,2
40,4,1,28,81,123,2015/7/29 10:15,2,1960,1,1,1,3,15000,1,180,160,105,5,4,4,5,2,4,4,4,4,1,3,15,1,3,35000,2,3,1,2,3,2,1,4,2
41,4,2,2,2,9,2015/7/23 16:43,2,1973,8,0,3,4,12000,1,300,169,120,4,3,3,1,3,3,3,4,6,1,8,26,1,4,35000,4,3,1,2,3,2,2,3,2
42,4,2,24,70,110,2015/8/3 9:12,1,1959,1,1,3,4,10000,1,15,160,122,3,3,3,1,3,3,2,4,4,3,,,,,10000,2,2,1,2,7,2,3,3,2
43,4,2,10,28,51,2015/7/28 12:08,2,1969,1,1,1,4,20000,1,90,162,115,3,3,4,1,4,5,1,4,4,2,,,,,30000,4,2,1,2,3,2,2,4,2
44,5,1,4,7,21,2015/9/24 19:21,2,1984,1,1,1,4,10000,1,56,159,115,3,5,5,2,1,5,1,1,5,1,3,4,1,3,20000,4,2,1,2,3,2,1,3,2
45,5,1,29,82,125,2015/7/20 19:37,2,1997,1,1,1,6,0,2,126,160,112,5,5,5,1,4,4,3,1,4,6,,,,,60000,4,3,1,1,1,2,2,2,-8
46,4,1,11,31,54,2015/7/19 16:28,2,1993,1,1,1,12,3000,2,200,167,120,4,3,3,2,3,3,4,3,3,6,,,,,70000,4,3,1,2,1,2,2,3,-8
47,4,2,17,50,83,2015/7/28 9:36,1,1993,1,1,1,4,55000,2,200,170,125,5,5,4,1,3,3,4,4,3,1,2,5,2,4,80000,3,2,1,2,1,3,1,2,2
48,4,2,5,8,24,2015/8/6 9:00,2,1955,1,1,1,1,5000,1,65,160,125,4,4,4,1,4,4,2,4,5,2,,,,,10000,3,3,1,2,3,2,2,3,2
49,5,1,17,48,80,2015/7/27 17:51,1,1951,1,1,1,3,20000,1,97,175,125,5,5,5,1,2,3,3,4,4,1,3,16,1,3,110000,5,3,1,2,3,1,1,4,2
50,3,1,15,39,70,2015/7/11 16:10,1,1961,1,1,1,4,15000,1,50,170,130,5,4,4,2,2,3,2,1,5,1,3,30,1,3,30000,2,3,1,2,3,2,2,3,3
51,4,1,12,32,56,2015/7/29 17:58,2,1933,1,1,1,1,48000,1,100,155,100,4,4,5,5,4,5,1,4,5,5,,,,,-2,2,3,10,2,7,3,1,4,2
52,5,1,10,24,46,2015/7/28 15:40,1,1984,1,1,3,4,30000,1,160,186,170,4,5,4,1,1,4,1,5,1,1,2,16,1,2,60000,3,3,1,2,3,2,2,4,2
53,5,1,4,7,20,2015/10/18 14:58,1,1997,1,1,1,6,0,2,60,170,120,4,4,4,2,4,5,5,-8,10,6,,,,,-2,3,5,-2,1,1,1,2,-8,-8
54,4,1,5,8,23,2015/7/31 12:45,1,1985,1,1,1,10,80000,1,90,180,150,4,5,5,2,2,3,3,4,5,1,3,5,1,2,100000,5,4,1,1,3,2,1,3,2
55,4,1,31,89,134,2015/9/14 12:07,2,1944,1,1,1,4,12000,1,34,160,140,3,4,5,2,1,5,1,3,5,5,,,,,30000,2,3,1,2,3,3,1,-8,-8
56,4,1,5,11,27,2015/7/27 13:13,1,1950,1,0,1,4,30000,1,40,170,160,3,5,5,2,2,4,2,3,5,5,,,,,600000,2,3,1,2,3,2,2,5,1
57,4,1,7,18,38,2015/8/7 17:03,2,1954,1,1,1,10,24000,4,57,160,130,4,4,4,2,1,4,2,3,6,5,,,,,63600,2,3,1,2,3,1,1,4,3
58,4,1,15,42,73,2015/7/11 9:04,2,1965,1,1,1,4,3600,1,100,158,125,4,5,5,1,5,5,1,2,6,2,,,,,75000,1,3,1,2,3,2,2,3,2
59,4,2,23,69,109,2015/9/25 18:24,2,1982,1,0,3,3,2500,1,333,157,130,2,3,3,1,1,4,2,3,3,3,,,,,5000,3,2,1,2,3,3,1,3,2
60,4,2,18,55,89,2015/7/24 11:20,1,1969,1,0,4,4,35000,4,120,175,175,5,5,5,1,4,3,3,2,5,2,,,,,50000,5,2,1,2,3,2,2,4,2
61,4,2,2,3,10,2015/7/26 16:33,1,1996,4,0,2,6,5000,4,300,180,120,5,5,5,6,2,2,2,4,5,1,3,3,1,3,1000000,3,4,30,1,1,2,2,4,2
62,4,2,21,64,102,2015/7/21 9:48,2,1954,1,0,9,3,0,1,234,156,130,2,3,4,1,2,3,1,3,5,4,,,,,100000,4,3,1,2,7,2,1,4,2
63,3,1,13,36,67,2015/9/2 18:39,1,1960,1,1,1,8,5000,1,100,176,154,4,5,5,5,2,3,2,2,5,1,3,1,1,3,10000,3,2,1,1,3,2,2,5,2
64,4,1,4,7,16,2015/10/18 15:21,2,1945,4,0,4,6,38000,1,115,162,122,2,5,2,2,3,4,4,4,4,5,,,,,90000,2,3,2,2,3,2,2,3,2
65,3,2,6,13,29,2015/8/6 14:23,1,1944,1,1,1,1,20000,1,180,168,118,3,3,3,1,2,3,1,3,4,3,,,,,20000,2,3,1,2,3,3,2,3,2
66,4,1,1,1,4,2015/8/21 14:46,2,1922,4,0,2,4,39600,1,79,150,85,1,1,3,2,1,3,1,4,4,5,,,,,150000,4,2,1,2,7,3,2,3,3
67,1,2,31,87,132,2015/8/13 18:31,2,1943,1,1,1,3,10660,1,80,165,100,1,5,1,1,4,4,1,5,10,3,,,,,21320,2,3,1,2,3,2,2,5,2
68,4,1,12,32,57,2015/9/12 19:07,1,1983,1,1,1,6,0,1,110,178,120,3,4,4,5,3,3,3,4,4,1,2,13,1,2,0,4,3,1,2,3,3,2,3,2
69,4,2,9,21,43,2015/7/5 8:00,2,1962,1,1,1,4,20000,1,200,160,110,3,2,3,1,4,4,1,4,5,2,,,,,20000,1,1,1,2,7,2,3,5,2
70,4,2,29,83,126,2015/7/22 19:09,2,1996,1,0,1,12,0,2,120,158,140,4,5,4,1,3,2,2,4,4,6,,,,,20000,4,3,1,2,1,2,2,4,2
71,4,2,18,52,86,2015/7/18 10:47,2,1968,1,1,1,1,0,1,200,158,124,5,5,5,1,2,3,2,2,5,4,,,,,50000,3,3,2,2,3,2,2,4,2
72,5,1,4,7,21,2015/9/18 13:52,1,1954,1,1,1,7,50000,1,64,169,130,3,4,5,2,2,3,1,1,4,5,,,,,80000,2,-8,1,2,3,2,1,-8,3
73,5,1,1,1,6,2015/8/26 15:00,2,1947,1,1,1,10,44400,1,60,160,98,4,4,4,5,2,3,2,4,3,5,,,,,91200,1,3,1,2,3,2,2,4,2
74,4,2,2,2,9,2015/7/23 12:31,2,1968,8,1,1,4,10000,-8,266,165,100,4,4,4,1,2,3,2,4,6,3,,,,,85000,4,3,2,1,3,2,1,3,2
75,4,1,24,70,110,2015/8/9 16:53,1,1971,1,1,1,12,100000,1,100,170,150,5,5,5,4,3,4,4,4,6,1,3,21,1,2,250000,5,4,-3,1,3,2,2,4,2
76,3,1,6,12,28,2015/7/29 10:06,1,1968,1,1,1,4,-3,1,105,173,125,3,4,4,2,2,3,2,1,4,5,,,,,-3,3,2,1,2,3,3,2,4,3
77,5,2,19,57,93,2015/7/19 11:26,1,1968,1,1,1,3,200000,1,96,160,130,2,2,2,1,4,4,5,3,4,1,3,26,1,1,200000,3,3,1,2,3,2,2,5,2
78,4,2,16,44,75,2015/7/25 15:07,1,1949,1,1,1,4,40000,2,60,168,140,4,4,4,4,2,3,3,4,4,5,,,,,40000,2,3,0,2,3,1,1,4,2
79,3,2,13,35,65,2015/9/22 13:33,1,1977,6,1,1,4,10000,1,128,160,130,4,3,3,1,3,4,1,2,3,2,,,,,20000,5,2,1,2,3,3,2,4,4
80,1,2,22,67,107,2015/7/5 9:41,1,1969,1,1,1,3,20000,1,85,173,126,3,3,2,1,3,3,1,4,4,3,,,,,20000,1,1,1,2,7,3,1,3,2
81,4,1,4,7,14,2015/10/18 15:01,1,1987,1,1,1,8,120000,1,57,170,135,4,4,5,1,2,4,2,2,6,1,3,10,1,2,120000,3,3,1,2,3,2,1,3,2
82,4,2,6,17,33,2015/8/4 11:42,2,1947,1,1,1,3,2000,1,120,155,120,4,4,4,1,3,2,1,2,5,3,,,,,3000,1,3,1,2,7,2,2,4,2
83,3,1,31,86,129,2015/8/17 11:27,1,1974,1,1,1,4,1400,1,40,166,105,2,2,3,2,2,2,1,4,1,5,,,,,5000,3,1,0,2,3,3,1,4,3
84,4,1,16,46,77,2015/7/28 8:41,2,1992,1,1,1,10,30000,1,900,162,95,4,4,4,1,4,4,4,4,4,5,,,,,10000,4,3,2,2,1,2,1,3,-8
85,5,2,31,88,133,2015/8/17 15:39,1,1955,1,1,1,4,20000,4,40,164,110,4,4,3,1,2,4,4,3,7,2,,,,,40000,2,3,1,2,3,2,1,4,2
86,1,2,9,21,43,2015/7/6 19:18,2,1954,1,1,1,6,0,1,200,150,90,1,2,2,1,1,3,1,2,3,3,,,,,10000,2,1,1,2,3,3,3,-8,2
87,4,2,15,40,71,2015/7/13 19:14,1,1952,1,1,1,3,25000,1,200,168,125,3,5,4,4,4,4,1,3,5,5,,,,,60000,4,1,2,2,3,2,2,2,3
88,2,1,19,57,91,2015/7/14 17:37,1,1960,1,1,1,4,20000,1,38,170,115,4,5,5,5,2,4,2,3,2,5,,,,,50000,3,2,1,2,3,3,3,5,4
89,4,1,9,20,42,2015/7/7 19:29,1,1954,1,1,1,4,30000,1,208,165,130,4,5,5,1,2,3,2,4,5,1,1,42,1,1,60000,2,3,1,2,3,2,2,4,2
90,5,2,2,3,10,2015/7/26 12:40,2,1970,4,0,4,3,5000,1,150,150,130,2,3,5,1,2,2,1,4,4,4,,,,,12000,3,3,2,2,3,3,1,4,-8
91,4,2,29,84,127,2015/7/25 13:33,2,1977,1,1,1,4,0,1,20,155,110,3,5,3,1,3,1,2,4,5,2,,,,,15000,3,2,1,2,3,3,3,2,2
92,2,2,31,87,132,2015/8/13 15:14,2,1979,1,1,1,4,10000,1,50,164,98,1,2,3,1,3,1,1,2,3,3,,,,,10000,4,3,1,1,3,2,1,4,2
93,3,2,6,14,30,2015/8/6 11:05,1,1965,1,1,1,3,5000,1,100,168,130,2,3,3,1,2,3,1,4,4,2,,,,,5000,2,2,1,2,1,2,2,3,2
94,1,1,21,64,102,2015/7/18 11:04,1,1941,1,1,1,3,900,1,60,165,98,2,4,4,1,2,4,3,4,5,5,,,,,800,1,1,1,2,7,3,2,2,4
95,4,1,7,18,39,2015/8/13 18:19,1,1970,1,1,1,6,50000,4,67,183,160,5,5,5,2,1,3,2,4,5,1,3,30,1,3,80000,3,3,2,1,3,2,2,4,2
96,3,2,9,20,42,2015/7/5 13:59,1,1963,1,1,1,3,8000,1,80,170,120,3,2,3,1,2,2,1,3,2,2,,,,,8000,2,1,1,2,1,3,2,4,2
97,3,1,8,19,41,2015/8/6 9:32,2,1980,4,0,9,3,0,1,200,152,117,1,2,1,1,3,2,1,2,5,1,2,10,1,4,80000,5,3,1,2,3,2,2,3,3
98,4,1,23,69,109,2015/9/24 8:43,2,1987,1,1,1,4,60000,1,60,163,120,5,5,4,1,5,4,2,4,4,1,2,8,1,4,65000,3,2,1,2,3,2,1,2,3
99,4,2,22,66,105,2015/7/7 12:10,1,1995,1,1,1,4,30000,1,90,172,105,4,5,5,1,2,3,1,2,5,1,3,3,1,3,30000,6,3,1,2,1,2,1,3,2
100,3,1,4,7,14,2015/10/4 16:44,1,1962,1,1,1,6,60000,1,58,175,130,4,5,5,2,5,4,1,2,1,1,3,36,1,2,80000,4,1,1,1,3,3,2,3,2
101,4,2,24,72,112,2015/8/4 9:39,1,1951,1,1,4,3,1000,1,120,164,110,3,4,4,1,4,4,1,4,3,3,,,,,-2,1,3,2,2,3,2,2,4,-8
102,5,2,17,49,82,2015/7/28 19:45,2,1982,1,1,1,4,10000,1,306,156,110,5,5,5,1,4,4,4,4,7,2,,,,,30000,6,3,1,2,3,2,2,4,2
103,5,1,12,32,56,2015/7/31 16:39,2,1949,1,1,3,3,36000,1,55,160,134,4,5,5,5,4,5,1,3,5,5,,,,,150000,3,3,2,1,7,2,1,4,2
104,4,1,18,54,88,2015/7/13 16:58,2,1952,1,1,1,3,0,1,200,159,120,2,2,3,2,4,2,2,4,5,6,,,,,20000,2,3,1,2,3,2,2,4,3
105,4,1,22,65,103,2015/7/3 20:30,2,1975,1,1,3,4,3600,1,75,149,110,3,5,5,5,5,5,1,3,5,5,,,,,6000,3,2,1,2,3,2,1,4,3
106,4,1,12,32,60,2015/7/30 11:09,2,1978,1,1,1,4,15000,1,64,156,108,3,4,4,4,4,4,2,4,5,3,,,,,30000,3,3,2,2,3,2,1,3,2
107,3,1,26,76,116,2015/10/2 14:11,1,1995,1,1,1,12,0,1,60,168,104,4,4,3,2,3,3,2,3,4,1,-8,-1,-8,-8,50000,1,3,1,2,1,2,1,3,-8
108,3,1,13,36,67,2015/9/5 18:49,1,1988,6,1,1,12,30000,1,70,170,130,4,3,3,2,5,3,3,4,2,1,3,5,1,3,90000,3,2,1,2,3,3,2,4,3
109,4,1,31,87,132,2015/8/24 16:00,2,1963,1,0,6,13,18000,1,63,165,150,4,5,3,2,2,3,1,4,1,1,5,5,-8,3,50000,2,2,2,2,3,2,2,4,2
110,4,2,21,64,101,2015/7/20 9:43,2,1966,1,1,1,3,10000,1,100,165,100,3,3,4,1,4,3,1,4,4,3,,,,,20000,3,2,1,2,3,3,2,4,2
111,4,1,6,17,33,2015/8/5 17:27,1,1962,1,0,-8,6,40000,1,108,167,160,3,4,5,2,3,2,2,4,5,1,1,20,1,1,60000,1,3,1,2,3,2,1,3,2
112,4,2,16,46,78,2015/7/29 10:56,2,1936,1,1,3,1,0,1,230,150,100,5,4,5,1,4,4,2,4,3,4,,,,,1000,1,1,1,2,3,3,2,4,-8
113,3,1,26,75,115,2015/8/4 10:13,1,1975,1,1,1,4,15000,1,50,160,100,5,5,3,2,2,5,1,3,1,1,3,20,1,3,15000,2,2,1,2,1,3,2,3,-8
114,4,2,22,66,106,2015/7/11 9:16,1,1978,1,1,1,9,80000,1,450,169,144,4,5,5,2,3,3,4,4,4,1,3,13,1,3,10000,5,3,1,2,3,2,1,3,2
115,4,1,21,64,101,2015/7/14 20:45,2,1965,1,1,1,4,8000,1,59,158,108,5,5,5,2,4,4,1,3,2,5,,,,,15000,2,2,1,2,3,3,1,3,3
116,3,2,24,72,112,2015/8/3 19:34,2,1963,1,1,3,1,6000,1,120,150,85,3,4,4,1,4,4,1,2,4,3,,,,,-2,2,3,1,2,3,2,2,3,2
117,4,1,28,81,121,2015/7/31 12:11,2,1965,1,1,1,4,10000,1,15,161,124,2,2,2,4,2,2,1,4,5,1,8,-2,1,4,25000,2,2,0,2,3,3,2,3,4
118,4,1,15,40,71,2015/7/12 20:37,1,1980,1,1,1,4,-1,1,85,172,152,5,5,3,1,2,3,2,2,2,1,2,10,1,4,100000,3,2,1,2,3,2,1,2,4
119,3,1,1,1,2,2015/9/4 14:12,2,1948,1,1,1,6,33600,1,28,150,95,4,5,5,2,2,5,2,3,3,5,,,,,33600,1,2,1,2,7,3,2,3,3
120,3,2,29,83,126,2015/7/24 11:11,1,1973,1,1,2,3,3000,1,200,173,140,3,4,3,1,2,1,1,2,4,3,,,,,3000,3,2,1,2,3,2,2,4,2
121,4,2,9,20,42,2015/7/9 12:08,1,1954,1,1,1,4,25000,1,70,162,130,5,4,4,1,4,3,1,4,4,2,,,,,30000,1,3,1,2,7,2,2,4,2
122,4,1,15,43,74,2015/7/12 18:22,1,1971,1,1,1,12,50000,4,140,173,180,4,4,4,5,3,3,3,4,5,1,3,25,1,3,100000,2,3,2,1,3,2,3,4,3
123,4,1,1,1,3,2015/9/10 14:21,2,1987,1,1,1,6,30000,1,35.7,160,170,4,4,5,2,3,3,2,4,3,1,3,4,1,3,74400,2,2,1,2,1,3,-8,3,2
124,5,1,26,74,114,2015/8/10 9:39,1,1988,1,1,1,6,50000,2,200,173,130,4,4,5,1,4,4,4,3,2,1,2,10,1,4,60000,1,3,1,2,1,2,2,3,2
125,4,1,16,46,77,2015/7/26 16:50,1,1992,1,1,1,12,0,2,120,168,120,4,4,4,1,3,4,4,4,6,6,,,,,40000,3,3,1,2,1,2,2,3,-8
126,4,2,10,24,46,2015/7/25 10:21,2,1965,1,1,1,4,2000,1,66,160,132,4,4,4,1,2,3,1,3,6,3,,,,,50000,2,3,1,2,3,2,2,4,3
127,5,2,11,30,53,2015/7/19 11:07,2,1984,1,1,1,5,-3,1,200,160,110,4,4,5,1,3,3,3,4,4,5,,,,,-2,11,2,1,2,3,2,2,4,2
128,2,2,21,62,98,2015/7/17 16:00,2,1978,-8,1,1,3,24000,1,120,170,120,4,5,5,1,3,3,2,2,3,1,3,17,1,3,30000,3,3,1,2,6,3,2,3,2
129,5,1,1,1,8,2015/9/8 19:14,1,1956,1,1,3,9,93600,4,70,176,169,3,3,4,2,3,3,4,4,7,1,3,40,1,2,150000,2,4,4,2,3,2,2,4,2
130,3,2,31,87,131,2015/8/16 13:40,2,1961,1,1,1,3,7000,1,70,160,130,4,4,4,1,4,4,1,1,3,3,,,,,30000,5,3,1,2,3,3,1,3,3
131,4,1,11,31,54,2015/7/20 10:17,1,1983,1,1,1,12,30000,1,150,178,145,4,3,4,1,2,3,2,3,3,1,3,7,1,3,50000,5,3,1,2,3,2,1,3,2
132,4,1,11,29,52,2015/7/16 9:01,1,1971,1,1,1,4,60000,1,120,178,159,2,3,3,1,2,3,2,2,4,1,3,4,1,2,110000,2,3,2,2,3,2,2,3,3
133,5,1,15,40,71,2015/7/11 19:13,2,1991,1,0,2,12,40000,4,70,156,98,4,5,5,2,1,5,3,2,5,1,3,2,1,3,100000,3,2,1,2,1,3,1,4,2
134,3,1,16,46,77,2015/7/26 14:33,1,1974,1,1,1,6,120000,2,100,165,120,4,4,4,1,3,3,4,1,6,1,1,9,1,1,150000,6,2,1,1,3,2,2,3,2
135,4,1,12,32,61,2015/8/2 10:13,2,1977,1,1,1,6,30000,1,300,158,120,4,3,4,4,4,3,2,2,4,1,2,8,1,4,80000,3,2,1,2,3,2,2,4,3
136,3,2,21,64,100,2015/7/20 13:15,2,1966,1,1,1,4,10000,1,260,163,130,4,4,3,2,2,4,1,4,5,3,,,,,50000,4,4,1,2,3,2,1,5,2
137,4,2,18,52,85,2015/7/21 11:22,1,1992,1,1,1,12,0,2,250,174,114,2,2,3,1,1,4,3,4,5,1,5,1,2,3,10000,3,2,1,2,1,3,2,3,3
138,5,1,21,61,97,2015/7/19 10:50,2,1947,1,0,9,3,24000,1,174,156,120,5,5,5,2,4,4,2,4,7,5,,,,,24000,2,4,1,2,7,1,1,4,2
139,4,2,18,54,88,2015/7/12 16:34,2,1936,1,0,4,1,0,1,200,155,80,4,3,2,1,3,2,1,4,6,4,,,,,-2,3,3,1,2,3,3,1,5,2
140,3,1,27,80,120,2015/7/27 19:09,1,1957,1,1,1,6,40000,4,94,178,140,5,4,3,5,3,4,1,4,2,1,3,38,1,2,50000,2,2,0,2,3,3,3,4,2
141,4,1,22,67,107,2015/7/9 16:48,2,1996,1,1,1,12,0,2,100,160,96,4,5,3,2,3,4,3,3,5,6,,,,,50000,3,3,1,1,1,-8,-8,3,-8
142,4,2,11,30,53,2015/7/18 10:21,2,1997,1,1,1,6,0,2,160,170,98,5,5,3,1,2,3,5,4,2,6,,,,,10000,5,3,1,2,1,2,2,5,-8
143,4,2,26,74,114,2015/8/8 11:03,2,1993,1,1,1,11,-1,1,150,150,80,5,5,4,1,4,2,4,3,5,6,,,,,30000,2,2,1,2,1,3,1,2,-8
144,5,2,10,24,46,2015/7/27 16:06,2,1944,4,0,7,3,-2,1,40,150,110,2,2,3,1,4,4,1,5,3,4,,,,,-2,1,2,1,2,7,3,3,4,2
145,4,2,27,77,117,2015/7/18 12:32,1,1983,1,1,1,4,-3,1,70,170,120,3,3,3,1,1,3,1,4,3,2,,,,,-2,2,2,1,2,1,3,3,5,3
146,5,2,8,19,41,2015/8/1 16:41,2,1994,4,0,1,4,0,1,30,165,110,4,5,5,1,5,4,3,3,4,3,,,,,80000,3,3,2,2,3,2,3,4,-8
